,dataset,our_score,target
0,LL0_531_boston,N/A,24.934935918240022
1,LL0_464_prnn_synth,0.8221377397112691,0.9198717948717948
2,LL0_573_cpu_act,N/A,82.84432900367682
3,LL0_690_visualizing_galaxy,N/A,910.9447245769153
4,LL0_1470_dresses_sales,N/A,0.5091164095371669
5,LL0_1036_sylva_agnostic,N/A,0.9580815647107782
6,LL0_558_bank32nh,N/A,0.00657896091382533
7,LL0_1571_fourclass_scale,0.6359300100746956,0.6023788373417305
8,LL0_37_diabetes,0.687861274180775,0.6968867924528301
9,LL0_1217_click_prediction_small,N/A,0.4965262407075805
10,LL0_43_haberman,0.6219843595492601,0.5482778091473743
11,LL0_312_scene,N/A,0.9667605979867472
12,LL0_12_mfeat_factors,0.9469316289548819,0.9698972165854948
13,LL0_511_plasma_retinol,60593.20556741266,41277.11592147635
14,LL0_1526_wall_robot_navigation,0.9988972607379385,0.936189359286914
15,LL0_1553_autoUniv_au7_700,0.4273485632207228,0.3875720418881632
16,LL0_1508_user_knowledge,0.7493208243424963,0.7449554043839758
17,LL0_565_water_treatment,N/A,92.45792671148628
18,LL0_1490_planning_relax,0.42360472860472853,0.4517543859649122
19,LL0_11_balance_scale,N/A,0.7153411560191222
20,LL0_1040_sylva_prior,0.9589940889212512,0.9806897776181238
21,LL0_40677_led24,N/A,0.7269958089615457
22,LL0_1_anneal,N/A,0.9800786075238629
23,LL0_939_chscase_whale,N/A,1.0
24,LL0_712_chscase_geyser1,41.33444482270146,36.15358196789389
25,LL0_550_quake,0.036145101800603,0.03488525982882966
26,LL0_3_kr_vs_kp,N/A,0.9748939179632248
27,LL0_512_balloon,0.008359457127937949,0.0010653510484534645
28,LL0_1446_CostaMadre1,0.4812110041521807,0.6463306808134395
29,LL0_1558_bank_marketing,0.6454003876569973,0.630898726424724
30,LL0_947_arsenic_male_bladder,0.732501082812654,0.7608789314950453
31,LL0_560_bodyfat,3.0559118536422547,118.6685495670065
32,LL0_747_servo,N/A,0.8759920634920635
33,LL0_155_pokerhand,N/A,0.14430532561101694
34,LL0_666_rmftsa_ladata,3.541938074407681,4.858466975758301
35,LL0_1505_tamilnadu_electricity,0.37166328920099734,1.0
36,LL0_4134_bioresponse,N/A,0.7610336235536717
37,LL0_285_flags,0.45633333333333337,0.3615621630325001
38,LL0_1524_vertebra_column,0.7839895109703802,0.8129967274427303
39,LL0_679_rmftsa_sleepdata,0.4000769385254423,0.2447675018043097
40,LL0_1121_badges2,1.0,1.0
41,LL0_25_colic,N/A,0.8480902777777777
42,LL0_298_coil2000,N/A,0.057462750326913385
43,LL0_204_cholesterol,2411.1649329039933,3474.7939986690035
44,LL0_6332_cylinder_bands,N/A,0.7772649108516608
45,LL0_1489_phoneme,0.8722384077249501,0.7256624423963134
46,LL0_721_pwLinear,N/A,0.86998699869987
47,LL0_1510_wdbc,0.9481590105717667,0.9810529845741114
48,LL0_35_dermatology,0.9683396250578913,0.9573752412462091
49,LL0_40705_tokyo1,0.917498094463544,0.9026240815714499
50,LL0_504_analcatdata_supreme,N/A,0.16048200763967685
51,LL0_1529_volcanoes_a3,0.3879695516318134,0.18991304347826085
52,LL0_434_benzo32,0.05319510300425443,0.04960095283124235
53,LL0_40496_led_display_domain_7digit,N/A,0.7042549117549117
54,LL0_1500_seismic_bumps,0.9264814814814816,0.9696280502250652
55,LL0_300_isolet,N/A,0.7729465601699095
56,LL0_1488_parkinsons,0.8126998491704376,0.735780837157558
57,LL0_999_audiology,N/A,0.9451754385964912
58,LL0_1067_kc1,0.6378947849594707,0.680094708441165
59,LL0_953_splice,N/A,0.9497287165828154
60,LL0_1493_one_hundred_plants_texture,0.6173857142857143,0.8440396825396825
61,LL0_1589_svmguide3,N/A,0.5878995242617516
62,LL0_788_triazines,N/A,0.5833333333333333
63,LL0_194_cleveland,0.803567798908072,0.7186262537388651
64,LL0_1053_jm1,0.6048594104633382,0.6319987085516177
65,LL0_853_housing,0.855288911143482,0.8120347394540943
66,LL0_1462_banknote_authentication,0.9871283373954893,0.9852688172043008
67,LL0_44_spambase,0.9454705806885106,0.9270561301096636
68,LL0_198_delta_elevators,N/A,2.004118122593313e-06
69,LL0_41_glass,0.64985582010582,0.5830737863195439
70,LL0_40499_texture,0.9666281685749892,0.9981816363454528
71,LL0_4340_engine1,0.8887095678109798,0.8597475455820477
72,LL0_844_breastTumor,N/A,0.3548387096774194
73,LL0_22_mfeat_zernike,0.7432496837320963,0.812844194764572
74,LL0_1097_ICU,0.2424689830004588,0.15447649396334787
75,LL0_30_page_blocks,0.8082597799458606,0.7678245973121746
76,LL0_228_breast_cancer_wisconsin_diagnostic.tgz,N/A,0.7678245973121746
77,LL0_223_stock,5.543184032563544,5.571320688241743
78,LL0_40647_GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,N/A,0.40943121616114575
79,LL0_1038_gina_agnostic,N/A,0.8727612625394336
80,LL0_40648_GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,N/A,0.4153188205408535
81,LL0_1475_first_order_theorem_proving,0.4794647598298797,0.3514534606719201
82,LL0_40669_corral,N/A,0.7756017951856385
83,LL0_482_arsenic_male_bladder,37.997752416557184,387.11555493384003
84,LL0_1460_banana,0.8907433522330883,0.5913272692923086
85,LL0_664_chscase_census6,2.245328148583751,2.9607735444808
86,LL0_481_biomed,0.8680418192918193,0.912087912087912
